name,group,runner,status,description,config,run_dir,result_json,log_path,train_log_path,eval_log_path,backbone,mae_v,mse_v,rel_l2_v,proxy_obs_rmse,mean_corrections_per_batch,mean_queries_per_batch,mean_rejected_per_batch,mean_risk_score,mse_model,rel_model,mse_phys,rel_phys,mse_phys_affine,rel_phys_affine,psd_error,residual,peak_ratio,p99_ratio,std_ratio
teacher_no_teacher,teacher_budget,teacher_eval,PLANNED,PMD with no high-fidelity teacher,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\configs\teacher_budget\01_teacher_no_teacher.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\runs\teacher_budget\teacher_no_teacher,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\results\json\teacher_budget\01_teacher_no_teacher.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\logs\print\teacher_budget\teacher_no_teacher.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\logs\print\teacher_budget\teacher_no_teacher.print.log,,,,,,,,,,,,,,,,,,,,,
teacher_active_b1,teacher_budget,teacher_eval,PLANNED,"PMD with active high-fidelity correction, budget 1",D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\configs\teacher_budget\02_teacher_active_b1.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\runs\teacher_budget\teacher_active_b1,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\results\json\teacher_budget\02_teacher_active_b1.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\logs\print\teacher_budget\teacher_active_b1.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\logs\print\teacher_budget\teacher_active_b1.print.log,,,,,,,,,,,,,,,,,,,,,
teacher_active_b2,teacher_budget,teacher_eval,PLANNED,"PMD with active high-fidelity correction, budget 2",D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\configs\teacher_budget\03_teacher_active_b2.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\runs\teacher_budget\teacher_active_b2,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\results\json\teacher_budget\03_teacher_active_b2.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\logs\print\teacher_budget\teacher_active_b2.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\04_teacher_budget\logs\print\teacher_budget\teacher_active_b2.print.log,,,,,,,,,,,,,,,,,,,,,
