name,group,runner,status,description,config,run_dir,result_json,log_path,train_log_path,eval_log_path,backbone,mae_v,mse_v,rel_l2_v,proxy_obs_rmse,mean_corrections_per_batch,mean_queries_per_batch,mean_rejected_per_batch,mean_risk_score,mse_model,rel_model,mse_phys,rel_phys,mse_phys_affine,rel_phys_affine,psd_error,residual,peak_ratio,p99_ratio,std_ratio
teacher_no_guidance,teacher_inference,teacher_eval,PLANNED,Teacher sampler without guidance,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\configs\teacher_inference\01_teacher_no_guidance.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\runs\teacher_inference\teacher_no_guidance,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\results\json\teacher_inference\01_teacher_no_guidance.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_no_guidance.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_no_guidance.print.log,,,,,,,,,,,,,,,,,,,,,
teacher_legacy,teacher_inference,teacher_eval,PLANNED,Legacy heuristic guidance,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\configs\teacher_inference\02_teacher_legacy.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\runs\teacher_inference\teacher_legacy,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\results\json\teacher_inference\02_teacher_legacy.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_legacy.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_legacy.print.log,,,,,,,,,,,,,,,,,,,,,
teacher_pmd1,teacher_inference,teacher_eval,PLANNED,"Projected manifold diffusion, 1-step",D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\configs\teacher_inference\03_teacher_pmd1.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\runs\teacher_inference\teacher_pmd1,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\results\json\teacher_inference\03_teacher_pmd1.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_pmd1.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_pmd1.print.log,,,,,,,,,,,,,,,,,,,,,
teacher_pmd2,teacher_inference,teacher_eval,PLANNED,"Projected manifold diffusion, 2-step",D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\configs\teacher_inference\04_teacher_pmd2.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\runs\teacher_inference\teacher_pmd2,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\results\json\teacher_inference\04_teacher_pmd2.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_pmd2.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\03_teacher_inference\logs\print\teacher_inference\teacher_pmd2.print.log,,,,,,,,,,,,,,,,,,,,,
