name,group,runner,status,description,config,run_dir,result_json,log_path,train_log_path,eval_log_path,backbone,mae_v,mse_v,rel_l2_v,proxy_obs_rmse,mean_corrections_per_batch,mean_queries_per_batch,mean_rejected_per_batch,mean_risk_score,mse_model,rel_model,mse_phys,rel_phys,mse_phys_affine,rel_phys_affine,psd_error,residual,peak_ratio,p99_ratio,std_ratio
lg_full,proxy_losses,latent_green_eval,PLANNED,Full LatentGreen surrogate,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\01_lg_full.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_full,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\01_lg_full.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_full.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_full.print.log,,,,,,,,,,,,,,,,,,,,,
lg_no_fft,proxy_losses,latent_green_eval,PLANNED,Disable FFT loss,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\02_lg_no_fft.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_no_fft,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\02_lg_no_fft.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_fft.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_fft.print.log,,,,,,,,,,,,,,,,,,,,,
lg_no_psd,proxy_losses,latent_green_eval,PLANNED,Disable PSD loss,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\03_lg_no_psd.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_no_psd,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\03_lg_no_psd.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_psd.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_psd.print.log,,,,,,,,,,,,,,,,,,,,,
lg_no_stats,proxy_losses,latent_green_eval,PLANNED,Disable stats loss,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\04_lg_no_stats.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_no_stats,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\04_lg_no_stats.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_stats.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_stats.print.log,,,,,,,,,,,,,,,,,,,,,
lg_no_multiscale,proxy_losses,latent_green_eval,PLANNED,Disable multiscale loss,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\05_lg_no_multiscale.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_no_multiscale,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\05_lg_no_multiscale.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_multiscale.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_multiscale.print.log,,,,,,,,,,,,,,,,,,,,,
lg_no_peak,proxy_losses,latent_green_eval,PLANNED,Disable peak control,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\06_lg_no_peak.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_no_peak,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\06_lg_no_peak.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_peak.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_peak.print.log,,,,,,,,,,,,,,,,,,,,,
lg_no_residual,proxy_losses,latent_green_eval,PLANNED,Disable residual loss,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\configs\proxy_losses\07_lg_no_residual.yaml,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\runs\proxy_losses\lg_no_residual,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\results\json\proxy_losses\07_lg_no_residual.json,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_residual.print.log,D:\GreenDiff\GD\gd\runs\ablation_batches\_smoke_stream_check\suites\02_proxy_losses\logs\print\proxy_losses\lg_no_residual.print.log,,,,,,,,,,,,,,,,,,,,,
